Block,Year,Agrostis spp.,Anemone nemorosa,Anthoxanthum odoratum,Athyrium filix-femina,Blechnum spicant,Brachypodium sylvaticum,Cardamine flexuosa,Carex demissa,Carex pilulifera,Carex remota,Carex sylvatica,Cerastium vulgatum,Circaea lutetiana,Cirsium vulgare,Dactylis glomerata,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dryopteris austriaca,Dryopteris filix-mas,Dryopteris spinulosa,Endymion nonscriptus,Epilibium montanum,Epilobium parviflorum,Euphorbia amygdaliodes,Festuca ovina,Galium palustre,Galium saxatile,Geum urbanum,Glyceria sp.,Hedera helix,Holcus mollis,Hypericum androsaemum,Juncus buffonius,Juncus effusus,Lonicera periclymenum,Lotus corniculatus,Luzula campestris,Luzula multiflora,Luzula pilosa,Lysimachia nemorum,Molinia caerulea,Oxalis acetosella,Poa annua,Poa trivialis,Polypodium vulgare,Potentilla erecta,Pteridium aquilinum,Ranunculus flammula,Ranunculus repens,Rubus fruticosus,Ruscus aculeatus,Scutellaria minor,Senecio sylvatica,Stellaria alsine,Veronica chamaedrys,Veronica officinalis,Viola riviniana,Lotus pedunculatus,Melampyrum pratense,Montia fontanum,Polypodium interjectum,Ranunculus sarduous,Taraxacum officinalis agg.,Vaccinium myrtillus ,Ground_cover
25,2014,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,2
26,1996,30,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,1,,1,1,1,,,,,,1,1,,,1,,1,1,,,,,,,,,,40
26,2014,10,,,,,,0.5,0.5,,10,,,,,,,,0.5,,,,,,,,,0.5,,,,0.5,,,0.5,0.5,,,,,,0.5,0.5,0.5,,,,,0.5,0.5,0.5,0.5,,,,0.5,,,0.5,,,,,,,,20
27,1996,5,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,,1,,,,1,,1,,1,,,,,,1,,1,,1,,,,,1,,,,,,,,10
27,2014,15,,,,,,,0.5,,0.5,,,,,,,,0.5,0.5,,,,,,,,0.5,,,,0.5,,,0.5,0.5,,,,,,0.5,0.5,10,,,,,60,0.5,0.5,0.5,,,,0.5,,,0.5,,,,,,,,25
28,1996,75,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,1,10,,,1,,,,,,1,,,,,,,,,85
28,2014,5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,,,,0.5,2,,,,0.5,50,,,0.5,,,,,,,,,,,,,,,50
29,1996,40,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,1,1,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,55
29,2014,0.5,,,,,,,,,,,0.5,,0.5,,,,0.5,0.5,,,,,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,0.5,1,1,,,,0.5,2,,,0.5,,,,0.5,,,,,,,,,,,40
30,1996,75,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,5,,,1,1,,,1,1,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,95
30,2014,50,,,,,,,,,,,0.5,,0.5,,,,0.5,,,,,,,,,,0.5,,,0.5,0.5,,,0.5,0.5,,,0.5,,,50,1,,,,0.5,,,0.5,0.5,,,,,0.5,0.5,,,,,,,,,90
31,1996,80,,,,,,,,1,,,,,,,,,1,1,1,,,,,1,,,1,,,,,,,1,,,1,,,,1,1,,,,,,,,1,,,1,,1,,1,,,,,,,,95
31,2014,75,,,,,,,0.5,,,,,,0.5,,,,0.5,0.5,0.5,,,,,0.5,,,0.5,,,0.5,,,,0.5,,,,,,,0.5,0.5,,,,,,,,0.5,,,,,,,0.5,,,,,,,,90
32,1996,75,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,1,,,,,,,,90
32,2014,80,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,,0.5,0.5,,,,,0.5,,,0.5,,,,,,0.5,0.5,,,,,,,,80
33,1996,50,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,1,,,,1,,,,,1,,,,,,,,,,55
33,2014,40,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,0.5,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,0.5,0.5,,,,,,,,,50
34,1996,80,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,1,,,1,,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,95
34,2014,75,,,,,,,,,,,,,1,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,,25,0.5,,,,0.5,,,,0.5,,,,,,0.5,0.5,,,,,,,,80
35,1996,75,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,1,,,,10,,,1,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,95
35,2014,70,,,,,,,,,,,0.5,,,,,,1,,,,,,,,,,0.5,,,0.5,,,,30,,,,,,,0.5,2,,,,0.5,0.5,,,0.5,,,,0.5,,0.5,,,,,,0.5,,,90
36,1996,60,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,1,10,,,1,,,,,,,,,,,,,,,75
36,2014,50,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,2,,,,,50,,,,,,,,,0.5,,,,,,,,,60
37,1996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2.5
37,2014,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,15
38,1996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,5
38,2014,10,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,5,,,,,,,,,,,,,,,,,,5
39,1996,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,2.5
39,2014,25,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,5,,,,,,,,,,,,,,,,,,30
40,1996,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,5,,,1,,,,,,,,,,,,,,,10
40,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,7
41,1996,20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1,1,,,,,30,,,,,,,,,,,,,,,,,,60
41,2014,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,0.5,,,5,0.5,,,,0.5,50,,,,,,,,,,,,0.5,,,,,,60
42,1996,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2.5
42,2014,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,2.5
43,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,20,,,,,,,,,,,,,,,,,,40
43,2014,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,25,,,,,,,,,,,,,,,,,,40
44,1996,30,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,5,,1,,,,,50,,,,,1,1,1,,1,,,,,,,,,,,,,,,100
44,2014,30,,,,,,,1,,,,,,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,,1,,,,,,,75,,,,,0.5,2,0.5,,0.5,,,,,,,,0.5,0.5,,,,,0.5,80
45,1996,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,5,,,,,1,,1,,,,,,,,,,,,,,,,,40
