,Tree_ID,Year,Dist_west,Dist_south,Sp,Sp_code,En.Un,Block_new,Lat,Long,Class,Status2,DBH.y,DBH_mean
7034,1628,1996,2.8,760.6,Q,2,Enclosed,38,50.8539076,-1.531720188,30,0,NA,29
7045,162U,1959,15.2,25.2,I,NA,Unenclosed,52,50.85222417,-1.5310532,10,1,3,3
7046,162U,1964,15.2,25.2,I,NA,Unenclosed,52,50.85222417,-1.5310532,10,1,NA,3.5
7051,163,1959,3.1,101.1,I,3,Enclosed,5,50.85984311,-1.531722888,10,1,0.5,0.5
7078,1632,1959,3.5,770.7,Q,2,Enclosed,38,50.8538167,-1.531726488,40,1,33,33
7079,1632,1964,3.5,770.7,Q,2,Enclosed,38,50.8538167,-1.531726488,40,1,NA,38
7080,1632,1984,3.5,770.7,Q,2,Enclosed,38,50.8538167,-1.531726488,50,1,NA,41.4
7081,1632,1988,3.5,770.7,Q,2,Enclosed,38,50.8538167,-1.531726488,50,1,NA,42.7
7082,1632,1996,3.5,770.7,Q,2,Enclosed,38,50.8538167,-1.531726488,50,1,NA,44.9
7083,1632,2014,3.5,770.7,Q,NA,Enclosed,38,50.86072151,-1.538631295,50,1,NA,49.33803236
7087,1633,1959,3.9,764.4,Q,2,Enclosed,38,50.8538734,-1.531730088,20,1,18,18
7088,1633,1964,3.9,764.4,Q,2,Enclosed,38,50.8538734,-1.531730088,30,1,NA,20
7096,1634,1959,4.2,760.7,I,3,Enclosed,38,50.8539067,-1.531732788,20,1,17,17
7097,1634,1964,4.2,760.7,I,3,Enclosed,38,50.8539067,-1.531732788,20,1,NA,18
7098,1634,1984,4.2,760.7,I,3,Enclosed,38,50.8539067,-1.531732788,20,1,NA,16.9
7099,1634,1988,4.2,760.7,I,3,Enclosed,38,50.8539067,-1.531732788,20,1,NA,17.8
7100,1634,1996,4.2,760.7,I,3,Enclosed,38,50.8539067,-1.531732788,20,1,NA,18.8
7101,1634,2014,4.2,760.7,I,NA,Enclosed,38,50.86071521,-1.538541295,30,1,NA,21.32676237
7105,1635,1959,4.8,776.6,F,1,Enclosed,38,50.8537636,-1.531738188,60,1,57,57
7106,1635,1964,4.8,776.6,F,1,Enclosed,38,50.8537636,-1.531738188,70,1,NA,60
7107,1635,1984,4.8,776.6,F,1,Enclosed,38,50.8537636,-1.531738188,70,1,NA,69.7
7108,1635,1988,4.8,776.6,F,1,Enclosed,38,50.8537636,-1.531738188,80,1,NA,70.9
7109,1635,1996,4.8,776.6,F,1,Enclosed,38,50.8537636,-1.531738188,80,1,NA,73.8
7110,1635,2014,4.8,776.6,F,NA,Enclosed,38,50.86070981,-1.538684395,90,1,NA,80.21409132
7114,1636,1959,5.5,773.6,F,1,Enclosed,38,50.8537906,-1.531744488,10,1,7,7
7115,1636,1964,5.5,773.6,F,1,Enclosed,38,50.8537906,-1.531744488,10,1,NA,8
7123,1637,1959,6.8,778,F,1,Enclosed,38,50.853751,-1.531756188,50,0,42,42
7124,1637,1964,6.8,778,F,1,Enclosed,38,50.853751,-1.531756188,50,0,NA,45
7132,1638,1959,9.5,764.7,Q,2,Enclosed,38,50.8538707,-1.531780488,40,0,37,37
7133,1638,1964,9.5,764.7,Q,2,Enclosed,38,50.8538707,-1.531780488,40,0,NA,39
7141,1639,1959,10.4,770.7,F,1,Enclosed,38,50.8538167,-1.531788588,10,1,4,4
7147,163U,1959,17,24.3,I,NA,Unenclosed,52,50.85220797,-1.5310613,10,1,2,2
7148,163U,1964,17,24.3,I,NA,Unenclosed,52,50.85220797,-1.5310613,10,1,NA,2.5
7154,164,1964,3.5,117.6,I,3,Enclosed,5,50.85969461,-1.531726488,10,1,NA,1.1
7162,1640,1959,10.8,773.2,Q,2,Enclosed,38,50.8537942,-1.531792188,20,0,16,16
7171,1641,1959,11.3,771.4,Q,2,Enclosed,38,50.8538104,-1.531796688,30,1,21,21
7172,1641,1964,11.3,771.4,Q,2,Enclosed,38,50.8538104,-1.531796688,30,1,NA,23
7173,1641,1984,11.3,771.4,Q,2,Enclosed,38,50.8538104,-1.531796688,30,1,NA,23.6
7174,1641,1988,11.3,771.4,Q,2,Enclosed,38,50.8538104,-1.531796688,30,0,NA,24
7175,1641,1996,11.3,771.4,Q,2,Enclosed,38,50.8538104,-1.531796688,30,0,NA,22
7180,1642,1959,11.4,775.6,I,3,Enclosed,38,50.8537726,-1.531797588,30,1,21,21
7181,1642,1964,11.4,775.6,I,3,Enclosed,38,50.8537726,-1.531797588,30,1,NA,25
7182,1642,1984,11.4,775.6,I,3,Enclosed,38,50.8537726,-1.531797588,30,1,NA,25.5
7183,1642,1988,11.4,775.6,I,3,Enclosed,38,50.8537726,-1.531797588,30,1,NA,25.9
7184,1642,1996,11.4,775.6,I,3,Enclosed,38,50.8537726,-1.531797588,30,1,NA,26.1
7185,1642,2014,11.4,775.6,I,NA,Enclosed,38,50.86065041,-1.538675395,30,1,NA,29.28450953
7189,1643,1959,11.7,778.7,Q,2,Enclosed,38,50.8537447,-1.531800288,40,1,32,32
7190,1643,1964,11.7,778.7,Q,2,Enclosed,38,50.8537447,-1.531800288,40,1,NA,33
7191,1643,1984,11.7,778.7,Q,2,Enclosed,38,50.8537447,-1.531800288,40,1,NA,31.8
7192,1643,1988,11.7,778.7,Q,2,Enclosed,38,50.8537447,-1.531800288,40,1,NA,31.8
7193,1643,1996,11.7,778.7,Q,2,Enclosed,38,50.8537447,-1.531800288,40,1,NA,31.8
7194,1643,2014,11.7,778.7,Q,NA,Enclosed,38,50.86064771,-1.538703295,40,0,NA,32.1492985
7198,1644,1959,12.7,770.6,F,1,Enclosed,38,50.8538176,-1.531809288,20,1,15.5,15.5
7199,1644,1964,12.7,770.6,F,1,Enclosed,38,50.8538176,-1.531809288,20,1,NA,17
7207,1645,1959,15.3,774.2,Q,2,Enclosed,38,50.8537852,-1.531832688,30,1,21,21
7208,1645,1964,15.3,774.2,Q,2,Enclosed,38,50.8537852,-1.531832688,30,1,NA,23
7216,1646,1959,15.6,772,F,1,Enclosed,38,50.853805,-1.531835388,40,1,38,38
7217,1646,1964,15.6,772,F,1,Enclosed,38,50.853805,-1.531835388,50,1,NA,40
7218,1646,1984,15.6,772,F,1,Enclosed,38,50.853805,-1.531835388,50,1,NA,42.7
7219,1646,1988,15.6,772,F,1,Enclosed,38,50.853805,-1.531835388,50,1,NA,44
7220,1646,1996,15.6,772,F,1,Enclosed,38,50.853805,-1.531835388,50,1,NA,46.5
7221,1646,2014,15.6,772,F,NA,Enclosed,38,50.86061261,-1.538642995,60,1,NA,51.24789168
7225,1647,1959,15.7,765.2,F,1,Enclosed,38,50.8538662,-1.531836288,80,1,70,70
7226,1647,1964,15.7,765.2,F,1,Enclosed,38,50.8538662,-1.531836288,80,1,NA,72
