"Block","Year","Perc_C","PCC","BAPERCM","BAM","freq","PSpR","Sorensen"
34,1964,0,0,0,40.5663060133303,3,0,1
34,1996,83,83,-0.862474074611875,5.57891877406109,14,1.54044504094715,0.0425531914893617
34,2014,100.5,100.5,-0.787794519577894,8.60839245650893,14,1.54044504094715,0.0185185185185185
35,1964,0,0,0,68.5225536394625,2,0,1
35,1996,78,78,-0.37615324550658,42.74757269758,12,1.79175946922805,0.0210526315789473
35,2014,70.5,70.5,-0.313047121927291,47.0717654355204,15,2.01490302054226,0.00917431192660545
36,1964,0,0,0,39.542834031653,2,0,1
36,1996,63,63,-0.590081930582452,16.2093221855537,11,1.70474809223843,0
36,2014,50.5,50.5,-0.470727749641554,20.9289247534835,9,1.50407739677627,0
37,1964,0,0,0,28.1152907542202,3,0,1
37,1996,1,1,0.167888120678818,32.8355140812847,5,0.51082562376599,0
37,2014,15.5,15.5,0.206600570249109,33.9239258567615,4,0.287682072451781,0
38,1964,0,0,0,54.5989168239821,4,0,1
38,1996,1,1,0.100024094652426,60.060124048304,5,0.22314355131421,0.571428571428571
38,2014,11,11,-0.0168334453762934,53.6798289400208,6,0.405465108108164,0.102564102564103
39,1964,1,0,0,41.9068825034793,6,0,1
39,1996,3,2,-0.138158178325446,36.1171039575001,6,0,0.2
39,2014,26,25,-0.344557378866798,27.4675569116016,5,-0.182321556793955,0
4,1964,2,0,0,73.1873278561912,9,0,1
4,1996,11,9,-0.213459247733004,57.5648159084199,9,0,0.142857142857143
4,2014,30,28,-0.528780656075698,34.4872846159672,9,0,0.0689655172413793
40,1964,4,0,0,35.3173919125748,13,0,1
40,1996,4,0,0.0206627008394952,36.0471446160955,9,-0.367724780125317,0.5
40,2014,1,-3,0.224889572456701,43.2599050800794,3,-1.46633706879343,0.222222222222222
41,1964,6,0,0,32.8881750281405,15,0,1
41,1996,24,18,-0.339135190190217,21.7346375349629,9,-0.51082562376599,0.142857142857143
41,2014,15.5,9.5,-0.239681042190724,25.0055029616449,10,-0.405465108108164,0.073170731707317
42,1964,3,0,0,56.2050560681299,6,0,1
42,1996,4,1,-0.269760698689956,41.043140873283,7,0.154150679827258,0.363636363636364
42,2014,1.5,-1.5,0.0240678039566942,57.5577883389526,5,-0.182321556793955,0.285714285714286
43,1964,0,0,0,73.1775103791488,2,0,1
43,1996,20,20,-0.181556521505809,59.8916561422553,3,0.405465108108164,0
43,2014,10.5,10.5,-0.0769928075441999,67.5433684059633,4,0.693147180559945,0
46,1964,0,0,0,44.5811632498477,2,0,1
46,1996,2,2,-0.370022902444396,28.0851118297916,3,0.405465108108164,0
46,2014,1.5,1.5,-0.382121511263183,27.5457417749452,3,0.405465108108164,0
47,1964,0,0,0,70.8818111824921,2,0,1
47,1996,2,2,-0.0613560015966845,66.5327866624032,3,0.405465108108164,0
47,2014,2.5,2.5,-0.606759470560789,27.8736009570134,4,0.693147180559945,0.25
48,1964,0,0,0,74.0237769002095,2,0,1
48,2014,0,0,-0.523680246763549,35.2589871467379,2,0,0
49,1964,3,0,0,63.7056085285755,8,0,1
5,1964,1,0,0,27.0550032336336,7,0,1
5,1996,71,70,-0.729065244212207,7.33014069394247,13,0.619039208406224,0.0666666666666667
5,2014,76.5,75.5,-0.681866631134225,8.6070993233903,15,0.762140052046897,0.0248447204968945
50,1964,2,0,0,42.2976180897696,5,0,1
50,1996,2,0,0.231181877263021,52.0760608435168,6,0.182321556793955,0.666666666666667
50,2014,1,-1,0.396827992042972,59.0824969445333,5,0,0.333333333333333
6,1964,2,0,0,37.1650410919673,4,0,1
6,1996,23,21,0.175468617920541,43.6863394873349,7,0.559615787935423,0.0714285714285714
6,2014,32,30,0.282724953775935,47.6725256167744,10,0.916290731874155,0.0789473684210527
7,1964,6,0,0,45.9850624669206,4,0,1
8,1964,0,0,0,61.5909239736279,2,0,1
8,1996,51,51,-0.422038064269319,35.5972096432392,9,1.50407739677627,0
8,2014,86,86,-0.695417883766564,18.7594939646603,15,2.01490302054226,0
9,1964,0,0,0,36.3933873964293,2,0,1
9,1996,26,26,-0.225926085783653,28.1711718335459,5,0.916290731874155,0
9,2014,10.5,10.5,-0.0129097030240411,35.9235595731025,4,0.693147180559945,0
