Block,Year,A_BA,B_BA,Cr_BA,F_BA,Fr_BA,I_BA,PM_BA,Q_BA,Sc_BA,T_BA,Sor_BA,AM,BM,CrM,FM,FrM,IM,PMM,Q.y,Sc.y,T.y,Sorensen.y,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,Northing,Easting
16,1996,0,0,0,18.1219041581,0,0.4963912742,0,0,0,0,0.6237898399,0,0,0,5,0,1,0,0,0,0,0.4285714286,6,18.6182954323,18.1219041581,0,2,1.053322956,2,2,106602,433034
16,2014,0,0,0,23.4973379799,0,0,0,0,0,0,0.727774015,0,0,0,5,0,0,0,0,0,0,0.3703703704,5,23.4973379799,23.4973379799,0,1,1,2,2,106602,433034
17,1964,0,0,0,52.9652886441,0,0.4717297719,0,0,0,0,1,0,0,0,7,0,11,0,0,0,0,1,18,53.437018416,52.9652886441,0,2,1.0176555424,2,2,106585,433028
17,1984,0,0,0,48.4507218261,0,0.7330317409,0,0,0,0,0.9534609934,0,0,0,6,0,7,0,0,0,0,0.8387096774,13,49.183753567,48.4507218261,0,2,1.0298078812,2,2,106585,433028
17,1988,0,0,0,46.0835121267,0,0.4536459792,0,0,0,0,0.9309835745,0,0,0,5,0,7,0,0,0,0,0.8,12,46.5371581059,46.0835121267,0,2,1.0194960757,2,2,106585,433028
17,1996,0,0,0,27.0778190503,0,0,0,0,0,0,0.6726168717,0,0,0,4,0,0,0,0,0,0,0.3636363636,4,27.0778190503,27.0778190503,0,1,1,2,2,106585,433028
17,2014,0,0,0,28.4034353701,0,0,0,0,0,0,0.6941172502,0,0,0,4,0,8,0,0,0,0,0.8,12,28.4034353701,28.4034353701,0,2,1,2,2,106585,433028
18,1964,0,5.3092915846,0,25.7959118029,0,0.2375829444,0,9.7590630541,0,0,1,0,1,0,16,0,7,0,1,0,0,1,25,41.101849386,25.7959118029,9.7590630541,4,2.4780012421,2.2583480629,1.6333898629,106571,433031
18,1984,0,0,0,26.7086230086,0,0.2419222693,0,10.3491130593,0,0,0.913057895,0,0,0,9,0,5,0,1,0,0,0.75,15,37.2996583372,26.7086230086,10.3491130593,3,2.122806445,2,1.7225413443,106571,433031
18,1988,0,0,0,26.8076420821,0,0.2596722678,0,10.3491130593,0,0,0.9117000337,0,0,0,9,0,4,0,1,0,0,0.7179487179,14,37.4164274091,26.8076420821,10.3491130593,3,2.1202511751,2,1.7234072364,106571,433031
18,1996,0,0,0,31.4866320056,0,0,0,10.8102988608,0,0,0.852649757,0,0,0,9,0,2,0,1,0,0,0.6486486486,12,42.2969308664,31.4866320056,10.8102988608,3,2.0223246594,2,1.7444188351,106571,433031
18,2014,0,0,0,32.9495019519,0,0.3509369005,0,11.9415936761,0,0,0.8290699238,0,0,0,8,0,1,0,1,0,0,0.5714285714,10,45.2420325285,32.9495019519,11.9415936761,3,2.0713101467,2,1.736050902,106571,433031
19,1964,0,3.4636059006,0,25.2991474646,0,1.5060009783,0,2.6119397671,0,0,1,0,1,0,13,0,12,0,2,0,0,1,28,32.8806941106,25.2991474646,2.6119397671,4,1.8307058402,2.2106771766,1.8152245312,106550,433024
19,1984,0,3.4143025309,0,27.2968076932,0,1.671209482,0,3.2595987276,0,0,0.9582644188,0,1,0,10,0,8,0,2,0,0,0.8571428571,21,35.6419184337,27.2968076932,3.2595987276,4,1.842772368,2.1915891557,1.8127513458,106550,433024
19,1988,0,3.4306977175,0,27.0001628069,0,1.6471173933,0,3.4951985417,0,0,0.9597057304,0,1,0,10,0,8,0,2,0,0,0.8571428571,21,35.5731764594,27.0001628069,3.4951985417,4,1.8713818362,2.192881157,1.8053056559,106550,433024
19,1996,0,0,0,28.1857998743,0,2.5139024414,0,4.3072217028,0,0,0.8666407519,0,0,0,9,0,7,0,2,0,0,0.7826086957,18,35.0069240186,28.1857998743,4.3072217028,3,1.6357797012,2,1.8769608635,106550,433024
